day,rob_count_0,rob_rebelled_0,trade_count_0,trade_accepted_0,0_obey_to,farm_count_0,rob_count_1,rob_rebelled_1,trade_count_1,trade_accepted_1,1_obey_to,farm_count_1,rob_count_2,rob_rebelled_2,trade_count_2,trade_accepted_2,2_obey_to,farm_count_2,rob_count_3,rob_rebelled_3,trade_count_3,trade_accepted_3,3_obey_to,farm_count_3,rob_count_4,rob_rebelled_4,trade_count_4,trade_accepted_4,4_obey_to,farm_count_4,rob_count_5,rob_rebelled_5,trade_count_5,trade_accepted_5,5_obey_to,farm_count_5,rob_count_6,rob_rebelled_6,trade_count_6,trade_accepted_6,6_obey_to,farm_count_6,rob_count_7,rob_rebelled_7,trade_count_7,trade_accepted_7,7_obey_to,farm_count_7,rob_count_8,rob_rebelled_8,trade_count_8,trade_accepted_8,8_obey_to,farm_count_8
1,1,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,1,1,6,0,1,0,0,0,-1,0,0,0,0,0,-1,1,1,0,0,0,-1,0,0,0,0,0,-1,1,1,1,0,0,-1,0
2,2,0,0,0,-1,0,0,0,2,0,0,0,0,0,1,1,-1,1,0,0,1,1,6,1,1,0,0,0,-1,1,0,0,0,0,-1,2,2,1,0,0,-1,0,1,1,0,0,-1,1,1,1,1,0,-1,0
3,3,0,0,0,-1,0,1,1,2,0,0,0,1,1,1,1,-1,1,0,0,1,1,6,2,1,0,0,0,-1,2,0,0,0,0,-1,3,3,2,0,0,-1,0,1,1,1,0,-1,1,2,2,1,0,-1,0
4,3,0,0,0,-1,1,1,1,2,0,0,1,2,2,1,1,-1,1,0,0,1,1,6,3,2,1,0,0,-1,2,1,1,0,0,-1,3,4,3,0,0,-1,0,1,1,1,0,-1,2,3,3,1,0,-1,0
5,3,0,0,0,-1,2,1,1,3,0,0,1,2,2,1,1,-1,2,0,0,1,1,6,4,3,2,0,0,-1,2,1,1,0,0,-1,4,5,4,0,0,-1,0,1,1,1,0,-1,3,4,4,1,0,-1,0
6,3,0,0,0,-1,3,1,1,3,0,0,2,2,2,1,1,8,3,0,0,1,1,6,5,4,3,0,0,-1,2,2,2,0,0,-1,4,5,4,1,0,-1,0,1,1,1,0,-1,4,5,4,1,0,-1,0
7,3,0,0,0,-1,4,1,1,3,0,0,3,2,2,1,1,8,4,0,0,1,1,6,6,4,3,1,0,-1,2,2,2,0,0,-1,5,6,5,1,0,-1,0,1,1,2,0,-1,4,5,4,1,0,-1,1
8,4,0,0,0,-1,4,1,1,3,0,0,4,2,2,1,1,8,5,1,1,1,1,6,6,5,4,1,0,5,2,3,2,0,0,-1,5,7,6,1,0,-1,0,2,2,2,0,-1,4,5,4,2,0,0,1
9,5,1,0,0,-1,4,1,1,3,0,0,5,2,2,1,1,8,6,1,1,2,1,6,6,5,4,1,0,5,3,3,2,0,0,-1,6,8,7,1,0,-1,0,2,2,3,0,-1,4,5,4,2,0,0,2
10,5,1,0,0,-1,5,1,1,3,0,0,6,2,2,2,1,8,6,1,1,2,1,6,7,5,4,1,0,5,4,4,3,0,0,-1,6,9,8,1,0,-1,0,2,2,4,0,-1,4,5,4,3,1,0,2
11,5,1,0,0,-1,6,1,1,3,0,0,7,2,2,2,1,8,7,1,1,2,1,6,8,5,4,1,0,5,5,4,3,0,0,-1,7,9,8,2,1,-1,0,2,2,4,0,-1,5,5,4,4,1,0,2
12,5,1,1,0,-1,6,1,1,3,0,0,8,2,2,2,1,8,8,1,1,3,1,6,8,5,4,1,0,5,6,5,4,0,0,-1,7,10,9,2,1,-1,0,2,2,4,0,-1,6,5,4,5,2,0,2
13,6,2,1,0,-1,6,1,1,3,0,0,9,2,2,2,1,8,9,1,1,3,1,6,9,5,4,1,0,5,7,5,4,0,0,-1,8,11,10,2,1,-1,0,3,3,4,0,-1,6,5,4,5,2,0,3
14,6,2,2,0,-1,6,1,1,4,0,0,9,2,2,3,1,8,9,1,1,3,1,6,10,5,4,1,0,5,8,5,4,1,0,-1,8,11,10,2,1,-1,1,4,4,4,0,-1,6,5,4,5,2,0,4
15,6,2,2,0,-1,7,1,1,4,0,0,10,2,2,3,1,8,10,1,1,3,1,6,11,5,4,1,0,5,9,6,5,1,0,-1,8,11,10,2,1,-1,2,5,5,4,0,-1,6,5,4,6,2,0,4
16,6,2,2,0,-1,8,1,1,4,0,0,11,2,2,3,1,8,11,1,1,3,1,6,12,5,4,1,0,5,10,6,5,1,0,-1,9,11,10,3,1,-1,2,5,5,4,0,-1,7,5,4,7,3,0,4
17,7,3,2,0,-1,8,1,1,5,0,0,11,2,2,3,1,8,12,1,1,4,2,6,12,5,4,1,0,5,11,7,6,1,0,-1,9,12,11,3,1,-1,2,6,6,4,0,-1,7,5,4,7,3,0,5
18,8,4,2,0,6,8,1,1,5,0,0,12,2,2,3,1,8,13,1,1,4,2,6,13,5,4,1,0,5,12,7,6,1,0,-1,10,13,11,3,1,-1,2,6,6,4,0,-1,8,5,4,7,3,0,6
19,8,4,2,0,6,9,1,1,5,0,0,13,2,2,4,1,8,13,1,1,4,2,6,14,5,4,1,0,5,13,8,7,1,0,-1,10,14,11,3,1,-1,2,7,7,4,0,-1,8,5,4,8,4,0,6
20,8,4,2,0,6,10,1,1,5,0,0,14,2,2,4,1,8,14,1,1,5,2,6,14,5,4,1,0,5,14,9,8,1,0,-1,10,14,11,3,1,-1,3,7,7,5,1,-1,8,5,4,8,4,0,7
21,8,4,2,0,6,11,1,1,5,0,0,15,2,2,4,1,8,15,1,1,6,2,6,14,6,4,1,0,5,14,10,8,1,0,-1,10,14,11,3,1,4,4,7,7,5,1,-1,9,5,4,9,4,0,7
22,8,4,2,0,6,12,1,1,6,0,0,15,2,2,4,1,8,16,1,1,6,2,6,15,6,4,1,0,5,15,11,8,1,0,-1,10,14,11,3,1,4,5,7,7,5,1,5,10,5,4,10,5,0,7
23,8,4,2,0,6,13,1,1,6,0,0,16,2,2,5,1,8,16,1,1,7,3,6,15,6,4,1,0,5,16,11,8,1,0,-1,11,14,11,3,1,4,6,7,7,6,1,5,10,5,4,11,5,0,7
24,8,4,2,0,6,14,1,1,6,0,0,17,2,2,6,2,8,16,1,1,7,3,6,16,6,4,1,0,5,17,11,8,1,0,-1,12,14,11,3,1,4,7,7,7,6,1,5,11,5,4,12,5,0,7
25,8,4,3,0,6,14,1,1,6,0,0,18,2,2,7,2,8,16,1,1,7,3,6,17,6,4,1,0,5,18,12,8,1,0,-1,12,14,11,3,1,4,8,7,7,7,1,5,11,5,4,12,5,0,8
26,8,4,3,0,6,15,1,1,6,0,0,19,2,2,7,2,8,17,1,1,7,3,6,18,6,4,1,0,5,19,12,8,1,0,-1,13,14,11,3,1,4,9,7,7,8,1,5,11,5,4,13,5,0,8
27,8,4,3,0,6,16,1,1,6,0,0,20,3,2,7,2,8,17,1,1,7,3,6,19,6,4,1,0,5,20,13,9,1,0,-1,13,14,11,3,1,4,10,7,7,8,1,5,12,5,4,13,5,0,9
28,9,4,3,0,6,16,1,1,6,0,0,21,3,2,7,2,8,18,1,1,7,3,6,20,6,4,2,1,5,20,13,9,1,0,-1,14,14,11,3,1,4,11,7,7,8,1,5,13,5,4,13,5,0,10
29,9,4,3,0,6,17,1,1,7,0,0,21,3,2,7,2,8,19,1,1,7,3,6,21,7,4,2,1,5,20,13,9,1,0,-1,15,14,11,3,1,4,12,7,7,9,1,5,13,5,4,13,5,0,11
30,9,4,3,0,6,18,1,1,8,0,0,21,3,2,7,2,8,20,1,1,7,3,6,22,7,4,2,1,5,21,13,9,1,0,-1,16,14,11,3,1,4,13,7,7,9,1,5,14,5,4,13,5,0,12
31,9,4,4,0,6,18,1,1,8,0,0,22,3,2,7,2,8,21,1,1,7,3,6,23,7,4,2,1,5,22,13,9,2,1,-1,16,14,11,3,1,4,14,7,7,9,1,5,15,5,4,13,5,0,13
32,9,4,4,0,6,19,1,1,8,0,0,23,3,2,8,2,8,21,1,1,7,3,6,24,7,4,2,1,5,23,13,9,2,1,-1,17,14,11,3,1,4,15,7,7,10,1,5,15,5,4,14,6,0,13
33,9,4,4,0,6,20,1,1,8,0,0,24,3,2,8,2,8,22,1,1,7,3,6,25,8,4,2,1,5,23,13,9,2,1,-1,18,14,11,3,1,4,16,7,7,11,1,5,15,5,4,15,6,0,13
34,9,4,4,0,6,21,1,1,9,0,0,24,3,2,8,2,8,23,1,1,7,3,6,26,8,4,2,1,5,24,14,9,2,1,-1,18,14,11,4,1,4,16,7,7,12,2,5,15,5,4,15,6,0,14
35,9,4,4,0,6,22,1,1,9,0,0,25,3,2,8,2,8,24,1,1,7,3,6,27,8,4,2,1,5,25,15,9,2,1,-1,18,14,11,5,2,4,16,7,7,12,2,5,16,5,4,15,6,0,15
36,9,4,4,0,6,23,1,1,9,0,0,26,3,2,8,2,8,25,1,1,7,3,6,28,8,4,2,1,5,26,15,9,2,1,-1,19,14,11,5,2,4,17,7,7,12,2,5,17,5,4,16,7,0,15
37,9,4,4,0,6,24,1,1,9,0,0,27,3,2,8,2,8,26,1,1,7,3,6,29,8,4,2,1,5,27,15,9,2,1,-1,20,14,11,6,2,4,17,7,7,13,2,5,17,5,4,16,7,0,16
38,9,4,4,0,6,25,1,1,9,0,0,28,3,2,9,2,8,26,1,1,7,3,6,30,8,4,3,1,5,27,16,10,2,1,-1,20,14,11,6,2,4,18,7,7,13,2,5,18,5,4,16,7,0,17
39,9,4,4,0,6,26,1,1,9,0,0,29,3,2,10,2,8,26,1,1,7,3,6,31,8,4,3,1,5,28,16,10,2,1,-1,21,14,11,7,3,4,18,7,7,13,2,5,19,5,4,16,7,0,18
40,9,4,4,0,6,27,1,1,9,0,0,30,3,2,10,2,8,27,1,1,7,3,6,32,8,4,4,1,5,28,17,10,2,1,-1,21,14,11,7,3,4,19,7,7,13,2,5,20,5,4,17,8,0,18
41,9,4,5,0,6,27,1,1,9,0,0,31,3,2,11,2,8,27,1,1,7,3,6,33,8,4,4,1,5,29,17,10,2,1,-1,22,14,11,8,3,4,19,7,7,13,2,5,21,5,4,17,8,0,19
Common Wealth achived on day 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,9,4,5,0,6,28,1,1,10,0,0,31,3,2,11,2,8,28,1,1,7,3,6,34,8,4,4,1,5,30,18,10,2,1,-1,22,14,11,9,3,4,19,7,7,14,2,5,21,5,4,17,8,0,20
43,9,4,5,0,6,29,1,1,10,0,0,32,3,2,11,2,8,29,1,1,7,3,6,35,8,4,5,1,5,30,19,10,2,1,-1,22,14,11,9,3,4,20,7,7,14,2,5,22,5,4,17,8,0,21
44,9,4,5,0,6,30,1,1,10,0,0,33,3,2,11,2,8,30,1,1,8,3,6,35,8,4,5,1,5,31,20,10,2,1,-1,22,14,11,9,3,4,21,7,7,14,2,5,23,5,4,18,8,0,21
45,9,4,6,0,6,30,1,1,11,0,0,33,3,2,11,2,8,31,1,1,8,3,6,36,8,4,5,1,5,32,21,10,2,1,-1,22,14,11,9,3,4,22,7,7,14,2,5,24,5,4,18,8,0,22
46,9,4,6,0,6,31,1,1,11,0,0,34,4,2,11,2,8,31,1,1,8,3,6,37,8,4,5,1,5,33,22,10,2,1,-1,22,14,11,10,3,4,22,7,7,14,2,5,25,5,4,18,8,0,23
47,9,4,6,0,6,32,1,1,11,0,0,35,4,2,12,3,8,31,1,1,8,3,6,38,8,4,5,1,5,34,23,10,2,1,-1,22,14,11,11,3,4,22,7,7,14,2,5,26,5,4,19,8,0,23
48,9,4,6,0,6,33,1,1,11,0,0,36,4,2,13,4,8,31,1,1,8,3,6,39,8,4,6,2,5,34,24,10,2,1,-1,22,14,11,11,3,4,23,7,7,14,2,5,27,5,4,19,8,0,24
